red: 91.104803992304 , green: 80.90430495430496 , blue: 52.69504569504569 
red: 91.04747474747475 , green: 81.21813973063973 , blue: 53.253787878787875 
red: 90.24890729238555 , green: 80.97102599493903 , blue: 52.62546353807223 
red: 90.63821548821548 , green: 80.35118446368446 , blue: 52.43106060606061 
red: 90.77556375771059 , green: 80.81810092021438 , blue: 52.720842061164646 
red: 90.89701518288476 , green: 80.44008511617207 , blue: 52.680334138486316 
red: 90.71670117322292 , green: 81.49945887445887 , blue: 53.12534192860279 
red: 90.02430064188684 , green: 80.57494700701596 , blue: 52.323176593521424 
red: 89.49477981788326 , green: 80.67172115241081 , blue: 51.91459919390954 
red: 91.90506599378882 , green: 80.78031832298137 , blue: 52.98179347826087 
red: 91.1785948566121 , green: 80.47056774642982 , blue: 52.47576192964124 
red: 91.38978494623656 , green: 80.55968521115787 , blue: 52.6332865825152 
red: 90.28181382793451 , green: 80.54269853709509 , blue: 52.34689422965285 
red: 91.90736352253981 , green: 80.59513724320635 , blue: 52.96271487911958 
red: 92.75847920195747 , green: 80.75910551217898 , blue: 53.40996060411352 
red: 91.66163233318406 , green: 80.28090153381102 , blue: 52.9591328929691 
red: 92.01623016616692 , green: 80.21015664042977 , blue: 52.94882181305181 
red: 92.10698953823953 , green: 80.43608405483405 , blue: 52.560624098124094 
red: 91.57596574582027 , green: 80.13602348920236 , blue: 52.314159918146984 
red: 89.56784511784511 , green: 79.31321548821549 , blue: 51.03766835016835 
red: 91.4126793519174 , green: 79.76663464455456 , blue: 52.12513904338154 
red: 90.55282842449742 , green: 79.73317638415816 , blue: 51.63767114138783 
red: 90.85301433879019 , green: 79.80811709044468 , blue: 51.59300476024614 
red: 89.91809764309764 , green: 79.14558080808081 , blue: 51.13867845117845 
red: 90.07868056143917 , green: 78.65572876952187 , blue: 51.27522946143635 
red: 90.3275783900784 , green: 78.98435562185563 , blue: 51.465834503334506 
red: 90.5988529352835 , green: 79.15807620383356 , blue: 51.3218348583005 
red: 90.37704457704459 , green: 79.09548818298819 , blue: 50.976759389259385 
red: 90.36870138163242 , green: 79.10389527458493 , blue: 51.29399744572159 
red: 90.75046851574213 , green: 79.2165785162974 , blue: 51.298874868121494 
red: 90.94959799140834 , green: 79.21860414489726 , blue: 51.560459479856036 
red: 89.9672992868645 , green: 79.17858293075685 , blue: 50.98244478951001 
red: 90.50074016022292 , green: 79.52252989666783 , blue: 51.02008301404854 
red: 91.98562515977034 , green: 80.4391242166935 , blue: 52.02762696992517 
red: 90.03478753047719 , green: 79.4495384883316 , blue: 50.89285092302333 
red: 91.00765765765766 , green: 79.42180589680589 , blue: 51.35800573300573 
red: 90.52021151586368 , green: 79.10317273795535 , blue: 51.046533490011754 
red: 90.65765412748172 , green: 79.54110066179032 , blue: 51.16026645768025 
red: 90.97076604554866 , green: 79.87084886128363 , blue: 51.60374741200828 
